ID_Estudiante,Edad,Fecha_Inscripcion,Genero,Estilo_Aprendizaje,Carrera,Signo_Zodiacal,Examen_Admision,Horas_Estudio_Semanal,Asistencia_Pct,Faltas,Promedio_Parciales,Motivacion,Nota_Final,Aprobo
1,20.5,2024-03-13,F,secuencial,Educacion,Tauro,2.66,20.6,89.7,2.0,2.25,7.0,1.94,no
2,27.0,2026-06-02,M,secuencial,Derecho,Geminis,3.87,6.1,65.2,7.0,2.83,6.0,2.35,no
3,,2021-06-20,F,sensorial,Medicina,Leo,4.23,6.5,81.9,3.0,3.3,,3.1,si
4,19.0,2022-05-01,Otro,visual,Derecho,Cancer,4.07,15.6,88.3,2.0,,4.0,2.49,no
5,25.3,2022-03-14,F,visual,Artes,Geminis,3.01,8.1,82.2,4.0,2.24,8.0,1.86,no
6,24.1,2021-08-18,,sensorial,Economia,Escorpio,3.33,10.0,,,2.7,8.0,2.63,no
7,21.2,2023-03-09,F,sensorial,Derecho,Virgo,3.45,4.8,77.1,5.0,2.0,5.0,1.63,no
8,28.1,2024-08-10,Otro,sensorial,Artes,Sagitario,2.9,4.6,68.2,7.0,,7.0,2.37,no
9,21.1,2026-02-06,F,intuitivo,Educacion,Libra,3.18,11.6,88.9,2.0,2.24,8.0,2.1,no
10,19.4,2026-01-08,M,secuencial,Psicologia,Escorpio,3.72,17.0,78.4,4.0,2.96,4.0,2.18,no
11,25.1,2022-01-05,M,activo,Administracion,Capricornio,2.64,4.4,36.8,13.0,1.76,5.0,1.25,no
12,26.6,2023-12-11,F ,visual,Ingenieria,Aries,5.0,11.5,81.2,4.0,3.77,4.0,3.25,si
13,27.6,2024-11-11,M,equilibrio,Educacion,Tauro,3.58,2.3,65.6,7.0,2.84,7.0,,no
14,,2024-08-08,M,secuencial,Economia,Capricornio,5.0,8.3,75.7,5.0,3.17,4.0,3.26,si
15,24.2,2024-11-25,M,equilibrio,Educacion,Libra,4.33,9.3,75.9,5.0,2.98,,1.8,no
16,21.1,2018-03-22,M,,Ingenieria,Tauro,,7.5,74.8,5.0,2.89,7.0,3.4,si
17,25.9,2019-12-21,F,visual,Artes,Cancer,2.03,12.5,73.2,6.0,2.1,6.0,1.3,no
18,29.0,2023-05-17,M,sensorial,Psicologia,Acuario,3.21,13.6,99.0,0.0,2.65,6.0,2.45,no
19,24.6,2024-01-19,F,visual,Ingenieria,Virgo,4.34,8.1,,,3.07,8.0,3.44,si
20,21.3,2024-06-12,M,activo,Sistemas,Sagitario,3.84,11.1,80.4,4.0,2.66,2.0,2.19,no
21,19.0,2025-02-11,M,visual,Sistemas,Libra,3.0,8.7,58.9,8.0,2.49,7.0,3.4,si
22,23.9,2026-07-13,M,equilibrio,Psicologia,Piscis,3.31,6.5,57.2,8.0,,8.0,1.63,no
23,21.3,2024-10-21,F,activo,Artes,Leo,4.22,20.8,86.9,3.0,2.75,6.0,2.98,no
24,24.6,2024-12-20,M,verbal,Ingenieria,Virgo,4.24,22.5,77.3,5.0,3.82,,3.18,si
25,27.0,2025-06-09,M,reflexivo,Ingenieria,Virgo,3.4,20.1,57.7,8.0,3.31,10.0,2.74,no
26,22.2,2022-03-27,M,secuencial,Derecho,Capricornio,2.95,,92.4,1.0,3.19,6.0,2.28,no
27,20.8,2024-12-27,M,secuencial,Administracion,Aries,2.96,7.8,97.5,0.0,2.12,4.0,1.37,no
28,22.6,2023-02-27,F,,Medicina,Capricornio,3.0,11.0,74.9,5.0,2.55,4.0,2.63,no
29,20.0,2023-01-07,M,visual,Administracion,Libra,3.27,10.2,88.5,2.0,3.2,,3.16,si
30,29.3,2023-07-10,,secuencial,Administracion,Virgo,4.02,,73.3,5.0,2.85,6.0,2.78,no
31,26.0,2024-01-01, m ,sensorial,Economia,Sagitario,3.6,10.5,83.8,3.0,1.96,4.0,2.01,no
32,27.0,2024-07-11,F,verbal,Economia,Geminis,3.31,1.7,70.1,6.0,2.62,7.0,2.74,no
33,22.2,2023-03-16,F,,Medicina,Libra,4.2,7.5,,,,3.0,,no
34,19.5,2025-09-17,F,equilibrio,Derecho,Cancer,3.8,9.8,84.4,3.0,3.08,4.0,2.82,no
35,24.4,2020-01-24,M,verbal,Administracion,Libra,"3,13",10.6,93.9,1.0,2.76,4.0,2.64,no
36,20.9,2021-07-26,F,visual,Sistemas,Leo,3.75,,59.7,8.0,2.22,6.0,2.21,no
37,28.0,2021-09-20,M,equilibrio,Economia,Leo,4.19,10.1,80.7,4.0,2.63,6.0,,no
38,,2020-07-25,F,visual,Derecho,Capricornio,"4,77",8.0,91.5,2.0,3.14,7.0,,no
39,23.3,2023-02-26,M,intuitivo,Ingenieria,Libra,4.0,9.6,46.7,11.0,2.75,7.0,3.06,si
40,25.6,2024-05-18,F,activo,Economia,Cancer,2.73,8.4,85.9,3.0,2.18,6.0,2.03,no
9,22.7,2025-11-01,F,visual,Medicina,Aries,3.26,17.5,87.0,3.0,2.54,8.0,2.75,no
42,20.4,2025-12-20,M,intuitivo,Ingenieria,Escorpio,3.29,13.9,70.3,6.0,1.67,7.0,2.5,no
43,29.8,2023-12-22,F,visual,Ingenieria,Virgo,4.43,4.9,91.5,2.0,2.81,10.0,3.2,si
44,19.9,2024-05-20,F,sensorial,Educacion,Piscis,3.02,22.0,53.1,9.0,2.33,6.0,2.55,no
45,31.7,2022-08-27,F,visual,Ingenieria,Capricornio,4.04,16.3,63.5,7.0,3.19,7.0,3.22,si
46,25.7,2024-06-13,M,sensorial,Educacion,Escorpio,3.71,11.8,85.9,3.0,2.64,6.0,2.54,no
47,23.2,2021-03-10,F,intuitivo,Sistemas,Leo,3.38,19.2,94.6,1.0,2.7,8.0,4.08,si
48,23.7,2020-08-25,M,intuitivo,Ingenieria,Capricornio,3.97,5.8,84.8,3.0,3.43,8.0,3.34,si
49,19.0,2023-05-03,M,sensorial,Ingenieria,Tauro,3.89,13.7,64.4,7.0,2.78,7.0,3.29,si
50,22.6,2021-05-06,F,visual,Ingenieria,Aries,4.67,12.3,48.3,10.0,2.8,7.0,3.52,si
51,,2022-11-04,M,sensorial,Sistemas,Sagitario,3.66,4.8,83.7,3.0,2.7,7.0,2.45,no
52,23.2,2024-05-18,F,verbal,Derecho,Piscis,4.15,7.2,85.4,3.0,3.48,6.0,2.36,no
53,19.5,2022-08-03,F,activo,Medicina,Capricornio,2.55,12.0,57.2,9.0,1.9,9.0,1.37,no
54,21.6,2024-08-18,F,activo,Derecho,Piscis,3.88,4.9,71.0,6.0,2.0,7.0,1.71,no
55,20.0,2026-11-02,F,intuitivo,Administracion,Tauro,2.39,12.3,74.2,5.0,2.12,7.0,1.23,no
56,23.5,2025-06-02,F,equilibrio,Derecho,Sagitario,3.66,2.3,81.9,4.0,2.41,7.0,2.31,no
57,23.9,2023-01-20,F,sensorial,Artes,Leo,4.28,4.3,73.2,5.0,3.01,3.0,,no
